CLASSE;ORDRE;FAMILLE;NOM SCIENTIFIQUE de l'espèce;NOM COMMUN (vernaculaire) de l'espèce
Reptilia;Squamata;Cordylidae;Cordylus mclachlani;Cordyle de McLachlan
Reptilia;Squamata;Cordylidae;Cordylus meculae;Lézard épineux
Reptilia;Squamata;Cordylidae;Cordylus melanotus;Lézard épineux
Reptilia;Squamata;Cordylidae;Cordylus microlepidotus;Lézard à fausse ceinture des rochers
Reptilia;Squamata;Cordylidae;Cordylus minor;Petit cordyle
Reptilia;Squamata;Cordylidae;Cordylus mossambicus;Lézard épineux d'Afrique australe
Reptilia;Squamata;Cordylidae;Cordylus namaquensis;Cordyle du Namaqua
Reptilia;Squamata;Cordylidae;Cordylus nebulosus;Lézard épineux d'Afrique australe
Reptilia;Squamata;Cordylidae;Cordylus niger;Cordyle noir
Reptilia;Squamata;Cordylidae;Cordylus nyikae;Lézard épineux
Reptilia;Squamata;Cordylidae;Cordylus oelofseni;Cordyle d'Oelofsen
Reptilia;Squamata;Cordylidae;Cordylus peersi;Cordyle de Hewitt
Reptilia;Squamata;Cordylidae;Cordylus polyzonus;Cordyle africain
Reptilia;Squamata;Cordylidae;Cordylus pustulatus;Cordyle à pustules
Reptilia;Squamata;Cordylidae;Cordylus regius;Lézard épineux
Reptilia;Squamata;Cordylidae;Cordylus rhodesianus;Cordyle de Rhodésie
Reptilia;Squamata;Cordylidae;Cordylus rivae;Lézard épineux
Reptilia;Squamata;Cordylidae;Cordylus spinosus;Lézard à ceinture épineuse
Reptilia;Squamata;Cordylidae;Cordylus spp.;cordyles
Reptilia;Squamata;Cordylidae;Cordylus subviridis;Lézard épineux
Reptilia;Squamata;Cordylidae;Cordylus tasmani;Cordyle de Tasman
Reptilia;Squamata;Cordylidae;Cordylus transvaalensis;Lézard
Reptilia;Squamata;Cordylidae;Cordylus tropidosternum;Cordyle de Cope
Reptilia;Squamata;Cordylidae;Cordylus ukingensis;Cordyle d'Ukinga
Reptilia;Squamata;Cordylidae;Cordylus vandami;Lézard épineux
Reptilia;Squamata;Cordylidae;Cordylus vittifer;Cordyle de Reichenow
Reptilia;Squamata;Cordylidae;Cordylus warreni;Cordyle de Warren
Mammalia;Chiroptera;Emballonuridae;Cormura brevirostris;Chauves-souris
Reptilia;Squamata;Colubridae;Coronella austriaca;Coronelle lisse
Reptilia;Squamata;Colubridae;Coronella girondica;Coronelle girondine_ Coronelle bordelaise
Reptilia;Squamata;Scincidae;Corucia zebrata;Scinque à queue préhensile des Iles Salomons
Aves;Passeriformes;Corvidae;Corvus corax;Grand corbeau
Aves;Passeriformes;Corvidae;Corvus corone cornix;Corneille mantelée
Aves;Passeriformes;Corvidae;Corvus dauuricus;Choucas de Daourie
Aves;Passeriformes;Corvidae;Corvus monedula;Choucas des tours
Aves;Passeriformes;Corvidae;Corvus splendens;Corbeau familier_ Corneille de l'Inde
Aves;Passeriformes;Thraupidae;Coryphospingus pileatus;Araguira gris 
Aves;Passeriformes;Tyrannidae;Corythopis torquatus;Corythopis à collier 
Aves;Anseriformes;Anatidae;Coscoroba coscoroba;Cygne coscoroba
Aves;Passeriformes;Cotingidae;Cotinga cayana;Cotinga de Cayenne 
Aves;Passeriformes;Cotingidae;Cotinga cotinga;Cotinga de Daubenton 
Aves;Passeriformes;Cotingidae;Cotinga maculata;Cotinga cordonbleu
Aves;Galliformes;Cracidae;Crax alberti;Hocco d'Albert
Aves;Galliformes;Cracidae;Crax alector;Hocco noir
Aves;Galliformes;Cracidae;Crax blumenbachii;Hocco de Blumenbach
Aves;Galliformes;Cracidae;Crax daubentoni;Hocco de Daubenton
Aves;Galliformes;Cracidae;Crax fasciolata;Hocco à face nue
Aves;Galliformes;Cracidae;Crax globulosa;Hocco globuleux
Aves;Galliformes;Cracidae;Crax rubra;Grand hocco
Aves;Galliformes;Cracidae;Crax spp.;Hocco
Aves;Gruiformes;Rallidae;Crex crex;Râle des genêts
Aves;Gruiformes;Rallidae;Crex egregia;Râle des prés
Mammalia;Rodentia;Cricetidae;Cricetus cricetus;Grand hamster_ Hamster commun
Reptilia;Squamata;Teiidae;Crocodilurus amazonicus;Téju-Crocodile
Reptilia;Crocodylia;Crocodylidae;Crocodylia spp.;Crocodiliens
Reptilia;Crocodylia;Crocodylidae;Crocodylus acutus;Crocodile d'Amérique
Reptilia;Crocodylia;Crocodylidae;Crocodylus cataphractus;Crocodile à museau allongé d'Afrique
Reptilia;Crocodylia;Crocodylidae;Crocodylus intermedius;Crocodile de l'Orénoque
Reptilia;Crocodylia;Crocodylidae;Crocodylus johnsoni;Crocodile de Johnstone
Reptilia;Crocodylia;Crocodylidae;Crocodylus mindorensis;Crocodile des Philippines
Reptilia;Crocodylia;Crocodylidae;Crocodylus moreletii;Crocodile de Morelet
Reptilia;Crocodylia;Crocodylidae;Crocodylus niloticus;Crocodile du Nil
Reptilia;Crocodylia;Crocodylidae;Crocodylus novaeguineae;Crocodile de Nouvelle-Guinée
Reptilia;Crocodylia;Crocodylidae;Crocodylus palustris;Crocodile des marais
Reptilia;Crocodylia;Crocodylidae;Crocodylus porosus;Crocodile d'estuaire
Reptilia;Crocodylia;Crocodylidae;Crocodylus rhombifer;Crocodile de Cuba
Reptilia;Crocodylia;Crocodylidae;Crocodylus siamensis;Crocodile du Siam
Aves;Galliformes;Phasianidae;Crossoptilon crossoptilon;Faisan oreillard blanc
Aves;Galliformes;Phasianidae;Crossoptilon harmani;Hokki du Tibet
Aves;Galliformes;Phasianidae;Crossoptilon mantchuricum;Hokki brun
Reptilia;Squamata;Viperidae;Crotalus durissus;Crotale durisse
Reptilia;Squamata;Viperidae;Crotalus unicolor;Crotale d'Aruba
Aves;Cuculiformes;Cuculidae;Crotophaga ani;Ani à bec lisse_ Bilbitin_ Gros merle de Sainte-Lucie
Aves;Cuculiformes;Cuculidae;Crotophaga major;Ani des palétuviers 
Mammalia;Carnivora;Eupleridae;Cryptoprocta ferox;Cryptoprocte féroce
Aves;Passeriformes;Estrildidae;Cryptospiza reichenovii;Sénégali de Reichenow
Aves;Tinamiformes;Tinamidae;Crypturellus brevirostris;Tinamou rubigineux
Aves;Tinamiformes;Tinamidae;Crypturellus cinereus;Tinamou cendré 
Aves;Tinamiformes;Tinamidae;Crypturellus soui;Tinamou soui 
Aves;Tinamiformes;Tinamidae;Crypturellus variegatus;Tinamou varié
Amphibia;Anura;Microhylidae;Ctenophryne geayi;Ctenophryne de Geay
Reptilia;Squamata;Iguanidae;Ctenosaura bakeri;Iguane à queue épineuse de l'île d'utila
Reptilia;Squamata;Iguanidae;Ctenosaura melanosterna;Iguane à queue épineuse de la vallée d'Aguan
Reptilia;Squamata;Iguanidae;Ctenosaura oedirhina;Iguane à queue épineuse de l'île de Roatan
Reptilia;Squamata;Iguanidae;Ctenosaura palearis;Iguane à queue épineuse du Guatemala
Reptilia;Squamata;Iguanidae;Ctenosaura quinquecarinata;Iguane noir
Aves;Cuculiformes;Cuculidae;Cuculus canorus;Coucou gris
Mammalia;Rodentia;Cuniculidae;Cuniculus paca;Paca
Mammalia;Carnivora;Canidae;Cuon alpinus;Chien sauvage d'Asie
Reptilia;Testudines;Geoemydidae;Cuora amboinensis;Tortue-boîte d'Asie orientale
Reptilia;Testudines;Geoemydidae;Cuora aurocapitata;Tortue-boîte à tête jaune
Reptilia;Testudines;Geoemydidae;Cuora bourreti;Tortue-boîte à front jaune
Reptilia;Testudines;Geoemydidae;Cuora flavomarginata;Tortue-boîte à bord jaune
Reptilia;Testudines;Geoemydidae;Cuora galbinifrons;Tortue-boîte à front jaune
Reptilia;Testudines;Geoemydidae;Cuora mccordi;Tortue-boîte de McCord
Reptilia;Testudines;Geoemydidae;Cuora mouhotii;Tortue boîte à 3 carènes
Reptilia;Testudines;Geoemydidae;Cuora pani;Tortue-boîte de Pan
Reptilia;Testudines;Geoemydidae;Cuora picturata;Tortue-boîte à front jaune
Reptilia;Testudines;Emydidae;Cuora spp.;Tortue-boîte d'Asie
Reptilia;Testudines;Geoemydidae;Cuora trifasciata;Tortue-boîte à trois bandes
Reptilia;Testudines;Geoemydidae;Cuora yunnanensis;Tortue-boîte du Yunnan
Reptilia;Testudines;Geoemydidae;Cuora zhoui;Tortue-boîte du Guangxi
Aves;Charadriiformes;Glareolidae;Cursorius cursor;Courvite isabelle
Aves;Passeriformes;Thraupidae;Cyanerpes caeruleus;Guit-guit céruléen 
Aves;Passeriformes;Thraupidae;Cyanerpes cyaneus;Guit-guit saï 
Aves;Passeriformes;Thraupidae;Cyanicterus cyanicterus;Tangara cyanictère 
Aves;Passeriformes;Corvidae;Cyanocorax caeruleus;Geai azuré
Aves;Passeriformes;Corvidae;Cyanocorax cayanus;Geai de Cayenne 
Aves;Passeriformes;Corvidae;Cyanocorax dickeyi;Geai panaché
Aves;Psittaciformes;Psittacidae;Cyanoliseus patagonus;Conure de Patagonie
Aves;Passeriformes;Cardinalidae;Cyanoloxia cyanoides;Evêque bleu-noir 
Aves;Caprimulgiformes;Trochilidae;Cyanophaia bicolor;Colibri à tête bleue
Aves;Passeriformes;Corvidae;Cyanopica cyanus;Pie bleue
Aves;Psittaciformes;Psittacidae;Cyanopsitta spixii;Ara de Spix
Aves;Psittaciformes;Psittacidae;Cyanoramphus auriceps;Perruche à front jaune
Aves;Psittaciformes;Psittacidae;Cyanoramphus forbesi;Perruche à front jaune de Forbes
Aves;Psittaciformes;Psittacidae;Cyanoramphus malherbi;Perruche de Malherbe
Aves;Psittaciformes;Psittacidae;Cyanoramphus novaezelandiae;Perruche de Nouvelle-Zélande
Aves;Psittaciformes;Psittacidae;Cyanoramphus unicolor;Perruche des Antipodes
Reptilia;Squamata;Colubridae;Cyclagras gigas;Couleuvre lisse du Brésil
Reptilia;Testudines;Trionychidae;Cyclanorbis elegans;Tortues à carapace molle
Reptilia;Testudines;Trionychidae;Cyclanorbis senegalensis;Tortue à carapace molle
Aves;Passeriformes;Vireonidae;Cyclarhis gujanensis;Sourciroux mélodieux 
Reptilia;Testudines;Geoemydidae;Cyclemys atripons;Tortue-feuille d'Asie
Reptilia;Testudines;Geoemydidae;Cyclemys dentata;Tortue feuille d'Asie
Reptilia;Testudines;Testudinidae;Cyclemys oldhamii;Tortue-feuille d’Asie
Reptilia;Testudines;Geoemydidae;Cyclemys pulchristriata;Tortue-feuille d'Asie
Reptilia;Testudines;Testudinidae;Cyclemys shanensis;Tortue-feuille d’Asie
Reptilia;Testudines;Geoemydidae;Cyclemys spp.;tortues d'eau douce Eurasienne
Reptilia;Testudines;Trionychidae;Cycloderma aubryi;Tortue à carapace molle
Reptilia;Testudines;Trionychidae;Cycloderma frenatum;Tortue à carapace molle
Mammalia;Xenarthra;Myrmecophagidae;Cyclopes didactylus;Myrmidon_ Petit fourmilier_ Lèche-main
Aves;Psittaciformes;Psittacidae;Cyclopsitta diophtalma;Psittacule à double-oeil
Aves;Psittaciformes;Psittacidae;Cyclopsitta diophtalma coxeni;Psittacule à double-oeil de Coxen
Aves;Psittaciformes;Psittacidae;Cyclopsitta diophthalma;Perroquet masqué
Aves;Psittaciformes;Psittacidae;Cyclopsitta diophthalma coxeni;Perroquet masqué de Coxen
Aves;Psittaciformes;Psittacidae;Cyclopsitta gulielmitertii;Psittacule à poitrine orange
Reptilia;Squamata;Iguanidae;Cyclura carinata;Cyclure des îles Turques-et-Caïques
Reptilia;Squamata;Iguanidae;Cyclura collei;Cyclure terrestre de la Jamaïque
Reptilia;Squamata;Iguanidae;Cyclura cornuta;Cyclure cornu
Reptilia;Squamata;Iguanidae;Cyclura cyclura;Iguane terrestre
Reptilia;Squamata;Iguanidae;Cyclura lewisi;Iguane bleu
Reptilia;Squamata;Iguanidae;Cyclura nubila;Cyclure des Iles Caïmanes
Reptilia;Squamata;Iguanidae;Cyclura pinguis;Cyclure de l'Ile Anegada
Reptilia;Squamata;Iguanidae;Cyclura ricordi;Cyclure de Ricord
Reptilia;Squamata;Iguanidae;Cyclura rileyi;Cyclure des Bahamas
Reptilia;Squamata;Iguanidae;Cyclura spp.;Iguane cornu_ iguanes terrestres
Aves;Anseriformes;Anatidae;Cygnus columbianus bewickii;Cygne de Bewick
Aves;Anseriformes;Anatidae;Cygnus cygnus;Cygne chanteur
Aves;Anseriformes;Anatidae;Cygnus melanocoryphus;Cygne à cou noir
Aves;Anseriformes;Anatidae;Cygnus olor;Cygne tuberculé
Aves;Passeriformes;Thamnophilidae;Cymbilaimus lineatus;Batara fascié 
Aves;Apodiformes;Trochilidae;Cynanthus latirostris;Colibri circé
Aves;Apodiformes;Trochilidae;Cynanthus sordidus;Colibri sombre
Mammalia;Carnivora;Viverridae;Cynogale bennettii;Civette-loutre de Sumatra
Mammalia;Chiroptera;Molossidae;Cynomops abrasus;Chauves-souris
Mammalia;Chiroptera;Molossidae;Cynomops greenhalli;Chauves-souris
Mammalia;Chiroptera;Molossidae;Cynomops paranus;Chauves-souris
Mammalia;Chiroptera;Molossidae;Cynomops planirostris;Chauves-souris
Mammalia;Rodentia;Sciuridae;Cynomys mexicanus;Chien de prairie du Mexique
Aves;Passeriformes;Muscicapidae;Cyornis ruckii;Gobe-mouche bleu de Rueck
Aves;Passeriformes;Troglodytidae;Cyphorhinus arada;Troglodyte arada
Aves;Caprimulgiformes;Apodidae;Cypseloides cryptus;Martinet à menton blanc
Mammalia;Carnivora;Phocidae;Cystophora cristata;Phoque à capuchon_ Phoque à crête
Mammalia;Chiroptera;Emballonuridae;Cyttarops alecto;Chauves-souris
Reptilia;Squamata;Viperidae;Daboia russelii;Dabois
Aves;Passeriformes;Thraupidae;Dacnis cayana;Dacnis bleu 
Aves;Passeriformes;Thraupidae;Dacnis lineata;Dacnis à coiffe bleue 
Aves;Passeriformes;Emberizidae;Dacnis nigripes;Dacnis à pattes noires
Mammalia;Artiodactyla;Cervidae;Dama dama mesopotamica;Daim de Mésopotamie
Mammalia;Artiodactyla;Bovidae;Damaliscus pygargus pygargus;Bontebok
Aves;Apodiformes;Trochilidae;Damophila julie;Colibri julie
Aves;Procellariiformes;Procellariidae;Daption capense;Damier du Cap
Aves;Falconiformes;Falconidae;Daptrius americanus;Caracara à gorge rouge
Aves;Falconiformes;Falconidae;Daptrius ater;Caracara noir 
Aves;Passeriformes;Muscicapidae;Dasyornis broadbenti litoralis;Dasyornerousse de l'ouest
Aves;Passeriformes;Muscicapidae;Dasyornis longirostris;Dasyorne à long bec
Mammalia;Rodentia;Dasyproctidae;Dasyprocta punctata;Agouti ponctué
Mammalia;Primates;Daubentoniidae;Daubentonia madagascariensis;Aye-Aye
Aves;Passeriformes;Furnariidae;Deconychura longicauda;Grimpar à longue queue 
Aves;Passeriformes;Hirundinidae;Delichon urbicum;Hirondelle de fenêtre
Mammalia;Cetacea;Monodontidae;Delphinapterus leucas;Bélouga
Mammalia;Cetacea;Delphinidae;Delphinus capensis;Dauphin commun_ Dauphin commun à bec court_ Dauphin commun à bec long
Mammalia;Cetacea;Delphinidae;Delphinus delphis;Dauphin commun_ Dauphin commun à bec court_ Dauphin commun à bec long
Aves;Passeriformes;Furnariidae;Dendrexetastes rufigula;Grimpar à collier
Amphibia;Anura;Dendrobatidae;Dendrobates arboreus;Dendrobate arboricole
Amphibia;Anura;Dendrobatidae;Dendrobates auratus;Dendrobate doré
Amphibia;Anura;Dendrobatidae;Dendrobates azureus;Dendrobate bleu
Amphibia;Anura;Dendrobatidae;Dendrobates biolat;Dendrobate biolat
Amphibia;Anura;Dendrobatidae;Dendrobates captivus;Dendrobate du Rio Santiago
Amphibia;Anura;Dendrobatidae;Dendrobates castaneoticus;Dendrobate du Xingu
Amphibia;Anura;Dendrobatidae;Dendrobates fantasticus;Dendrobate fantastique
Amphibia;Anura;Dendrobatidae;Dendrobates galactonotus;Dendrobate du Tapajos
Amphibia;Anura;Dendrobatidae;Dendrobates granulifer;Dendrobate granuleux
Amphibia;Anura;Dendrobatidae;Dendrobates imitator;Dendrobate imitateur
Amphibia;Anura;Dendrobatidae;Dendrobates labialis;Dendrobate labié
Amphibia;Anura;Dendrobatidae;Dendrobates lamasi;Dendrobate de Lamas
Amphibia;Anura;Dendrobatidae;Dendrobates lehmanni;Dendrobate de Lehman
Amphibia;Anura;Dendrobatidae;Dendrobates leucomelas;Dendrobate jaune et noir
Amphibia;Anura;Dendrobatidae;Dendrobates occulator;Dendrobate
Amphibia;Anura;Dendrobatidae;Dendrobates quinquevittatus;Dendrobate à cinq bandes
Amphibia;Anura;Dendrobatidae;Dendrobates reticulatus;Dendrobate réticulé
Amphibia;Anura;Dendrobatidae;Dendrobates speciosus;Epipedobate brillant
Amphibia;Anura;Dendrobatidae;Dendrobates spp.;Dendrobates
Amphibia;Anura;Dendrobatidae;Dendrobates tinctorius;Dendrobate à tapirer_ Dendrobate teint_ Dendrobate à tapirer
Amphibia;Anura;Dendrobatidae;Dendrobates truncatus;Dendrobate du Rio Magdalena
Amphibia;Anura;Dendrobatidae;Dendrobates vanzolinii;Dendrobate de Vanzolini
Aves;Passeriformes;Furnariidae;Dendrocincla fuliginosa;Grimpar enfumé 
Aves;Passeriformes;Furnariidae;Dendrocincla merula;Grimpar à menton blanc 
Aves;Passeriformes;Furnariidae;Dendrocolaptes certhia;Grimpar barré 
Aves;Passeriformes;Furnariidae;Dendrocolaptes picumnus;Grimpar varié 
Aves;Piciformes;Picidae;Dendrocopos leucotos;Pic à dos blanc
Aves;Piciformes;Picidae;Dendrocopos major;Pic épeiche
Aves;Piciformes;Picidae;Dendrocopos medius;Pic mar
Aves;Piciformes;Picidae;Dendrocopos minor;Pic épeichette
Aves;Piciformes;Picidae;Dendrocopos syriacus;Pic syriaque
Aves;Anseriformes;Anatidae;Dendrocygna arborea;Dendrocygne à bec noir
Aves;Anseriformes;Anatidae;Dendrocygna autumnalis;Dendrocygne à ventre noir_ Dendrocygne à bec rouge
Aves;Anseriformes;Anatidae;Dendrocygna bicolor;Dendrocygne fauve
Aves;Anseriformes;Anatidae;Dendrocygna viduata;Dendrocygne veuf
Mammalia;Scandentia;Tupaiidae;Dendrogale melanura;Toupaye
Mammalia;Scandentia;Tupaiidae;Dendrogale murina;Toupaïe murin
Aves;Passeriformes;Parulidae;Dendroica caerulescens;Paruline bleue
Aves;Passeriformes;Parulidae;Dendroica castanea;Paruline à poitrine baie
Aves;Passeriformes;Parulidae;Dendroica coronata;Paruline à croupion jaune
Aves;Passeriformes;Parulidae;Dendroica discolor;Sylvette à moustache_ Paruline des prés
Aves;Passeriformes;Parulidae;Dendroica dominica;Sylvette à gorge jaune_ Paruline à gorge jaune
Aves;Passeriformes;Parulidae;Dendroica fusca;Paruline à gorge orangée
Aves;Passeriformes;Parulidae;Dendroica magnolia;Paruline à tête cendrée
Aves;Passeriformes;Parulidae;Dendroica palmarum;Paruline à couronne rousse
Aves;Passeriformes;Parulidae;Dendroica pensylvanica;Paruline à flancs marron
Aves;Passeriformes;Parulidae;Dendroica petechia;Paruline jaune
Aves;Passeriformes;Parulidae;Dendroica plumbea;Sylvette de Guadeloupe_ Paruline caféiette
Aves;Passeriformes;Parulidae;Dendroica striata;Paruline rayée_ Sylvette rayée
Aves;Passeriformes;Parulidae;Dendroica tigrina;Paruline tigrée
Aves;Passeriformes;Parulidae;Dendroica virens;Paruline à gorge noire
Mammalia;Diprotodontia;Macropodidae;Dendrolagus dorianus;Dendrolague unicolore
Mammalia;Diprotodontia;Macropodidae;Dendrolagus goodfellowi;Dendrolague de Goodfellow
Mammalia;Diprotodontia;Macropodidae;Dendrolagus inustus;Dendrolague gris
Mammalia;Diprotodontia;Macropodidae;Dendrolagus matschiei;Dendrolague de Matschie
Mammalia;Diprotodontia;Macropodidae;Dendrolagus pulcherrimus;Dendrolague
Mammalia;Diprotodontia;Macropodidae;Dendrolagus stellarum;Dendrolague
Mammalia;Diprotodontia;Macropodidae;Dendrolagus ursinus;Dendrolague noir
Reptilia;Squamata;Colubridae;Dendrophidion dendrophis;Serpent
Aves;Passeriformes;Furnariidae;Dendroplex picus;Grimpar talapiot
Amphibia;Anura;Hylidae;Dendropsophus counani;Serpent
Amphibia;Anura;Hylidae;Dendropsophus gaucheri;Rainette de Gaucher
Amphibia;Anura;Hylidae;Dendropsophus leali;Serpent
Amphibia;Anura;Hylidae;Dendropsophus leucophyllatus;Rainette à bandeau
Amphibia;Anura;Hylidae;Dendropsophus melanargyreus;Rainette marbrée noire
Amphibia;Anura;Hylidae;Dendropsophus minusculus;Rainette minuscule
Amphibia;Anura;Hylidae;Dendropsophus minutus;Rainette menue
Amphibia;Anura;Hylidae;Dendropsophus walfordi;Serpent
Mammalia;Chiroptera;Phyllostomidae;Dermanura cinerea;Chauves-souris
Mammalia;Chiroptera;Phyllostomidae;Dermanura gnoma;Chauves-souris
Reptilia;Testudines;Dermatemydidae;Dermatemys mawii;Dermatemyde de Mawe
Reptilia;Testudines;Dermochelyidae;Dermochelys coriacea;Tortue luth (La)
Aves;Psittaciformes;Psittacidae;Deroptyus accipitrinus;Papegeai maillé
Mammalia;Chiroptera;Phyllostomidae;Desmodus rotundus;Chauves-souris
Mammalia;Chiroptera;Phyllostomidae;Diaemus youngii;Chauves-souris
Mammalia;Perissodactyla;Rhinocerotidae;Dicerorhinus sumatrensis;Rhinocéros de Sumatra
Mammalia;Perissodactyla;Rhinocerotidae;Diceros bicornis;Rhinocéros noir
Mammalia;Chiroptera;Emballonuridae;Diclidurus albus;Chauves-souris
Mammalia;Chiroptera;Emballonuridae;Diclidurus ingens;Chauves-souris
Mammalia;Chiroptera;Emballonuridae;Diclidurus scutatus;Chauves-souris
Aves;Columbiformes;Columbidae;Didunculus strigirostris;Diduncule strigirostre
Aves;Procellariiformes;Diomedeidae;Diomedea albatrus;Albatros à queue courte
Aves;Procellariiformes;Diomedeidae;Diomedea amsterdamensis;Albatros d'Amsterdam
Aves;Procellariiformes;Diomedeidae;Diomedea cauta;Albatros à cape blanche_ Albatros timide
Aves;Procellariiformes;Diomedeidae;Diomedea chlororhynchos;Albatros à nez jaune_ Albatros à bec jaune
Aves;Procellariiformes;Diomedeidae;Diomedea chrysostoma;Albatros à tête grise
Aves;Procellariiformes;Diomedeidae;Diomedea exulans;Albatros hurleur_ Grand albatros
Aves;Procellariiformes;Diomedeidae;Diomedea melanophris;Albatros à sourcils noirs
Aves;Psittaciformes;Psittacidae;Diopsittaca nobilis;Ara noble
Mammalia;Sirenia;Dugongidae;Diospyros seychellarum;Ebénacée
Reptilia;Squamata;Dipsadidae;Dipsas catesbyi;Serpent
Reptilia;Squamata;Dipsadidae;Dipsas copei;Serpent
Reptilia;Squamata;Dipsadidae;Dipsas indica;Serpent
Reptilia;Squamata;Dipsadidae;Dipsas pavonina;Serpent
Reptilia;Squamata;Dipsadidae;Dipsas variegata;Serpent
Amphibia;Anura;Alytidae;Discoglossus montalentii;Discoglosse Corse
Amphibia;Anura;Alytidae;Discoglossus pictus;Discoglosse peint
Amphibia;Anura;Alytidae;Discoglossus sardus;Discoglosse sarde
Aves;Apodiformes;Trochilidae;Discosura conversii;Coquette à queue fine
Aves;Apodiformes;Trochilidae;Discosura langsdorffi;Coquette de Langsdorff
Aves;Apodiformes;Trochilidae;Discosura letitiae;Coquette de Létitia
Aves;Caprimulgiformes;Trochilidae;Discosura longicaudus;Coquette à raquettes
Aves;Apodiformes;Trochilidae;Discosura popelairii;Coquette de Popelaire
Aves;Passeriformes;Pipridae;Dixiphia pipra;Manakin à tête blanche
Reptilia;Testudines;Trionychidae;Dogania subplana;Trionyx de Malaisie
Aves;Passeriformes;Icteridae;Dolichonyx oryzivorus;Goglu des prés_ Bobolink
Aves;Passeriformes;Donacobiidae;Donacobius atricapilla;Donacobe à miroir_ Troglodyte à miroir
Aves;Apodiformes;Trochilidae;Doricha eliza;Colibri élise
Aves;Apodiformes;Trochilidae;Doricha enicura;Colibri à queue singulière
Aves;Apodiformes;Trochilidae;Doryfera johannae;Porte-lance de Jeanne
Aves;Apodiformes;Trochilidae;Doryfera ludovicae;Porte-lance de Louise
Reptilia;Squamata;Teiidae;Dracaena guianensis;Dracène de Guyane
Reptilia;Squamata;Teiidae;Dracaena paraguayensis;Dracène du Paraguay
Reptilia;Squamata;Teiidae;Dracaena spp.;Dracènes
Reptilia;Squamata;Dipsadidae;Drepanoides anomalus;Serpent
Reptilia;Squamata;Dipsadidae;Dromicus cursor;Couleuvre_ Couresse
Aves;Cuculiformes;Cuculidae;Dromococcyx pavoninus;Géocoucou pavonin 
Reptilia;Squamata;Colubridae;Drymarchon corais;Serpent
Reptilia;Squamata;Colubridae;Drymobius rhombifer;Serpent
Reptilia;Squamata;Colubridae;Drymoluber dichrous;Serpent
Aves;Piciformes;Picidae;Dryocopus javensis richardsi;Pic à ventre blanc de Corée
Aves;Piciformes;Picidae;Dryocopus lineatus;Pic ouentou 
Aves;Piciformes;Picidae;Dryocopus martius;Pic noir
Aves;Falconiformes;Accipitridae;Dryotriorchis spectabilis;Aigle serpentaire
Aves;Columbiformes;Columbidae;Ducula mindorensis;Carpophage de Mindoro
Aves;Columbiformes;Columbidae;Ducula pickeringii;Carpophage de Pickering
Mammalia;Sirenia;Dugongidae;Dugong dugon;Dugong
Aves;Passeriformes;Mimidae;Dumetella carolinensis;Moqueur chat
Amphibia;Anura;Microhylidae;Dyscophus antongilii;Crapaud rouge de Madagascar
Aves;Psittaciformes;Psittacidae;Eclectus roratus;Grand Éclectus
Aves;Pelecaniformes;Ardeidae;Egretta caerulea;Aigrette bleue
Aves;Pelecaniformes;Ardeidae;Egretta garzetta;Aigrette garzette
Aves;Pelecaniformes;Ardeidae;Egretta gularis;Aigrette des récifs
Aves;Pelecaniformes;Ardeidae;Egretta ibis;Héron garde-boeufs
Aves;Pelecaniformes;Ardeidae;Egretta thula;Aigrette neigeuse
Aves;Pelecaniformes;Ardeidae;Egretta tricolor;Aigrette tricolore
Mammalia;Carnivora;Mustelidae;Eira barbara;Martre à tête grise_ Tayra
Amphibia;Anura;Microhylidae;Elachistocleis surinamensis;Élachistocle ovale
Reptilia;Squamata;Colubridae;Elachistodon westermanni;Couleuvre de Westermann
Aves;Passeriformes;Tyrannidae;Elaenia chiriquensis;Élénie menue 
Aves;Passeriformes;Tyrannidae;Elaenia cristata;Élénie huppée 
Aves;Passeriformes;Tyrannidae;Elaenia flavogaster;Élénie à ventre jaune
Aves;Passeriformes;Tyrannidae;Elaenia martinica;Élaène siffleuse_ Siffleur blanc_ Élénie siffleuse
Aves;Passeriformes;Tyrannidae;Elaenia parvirostris;Élénie à bec court 
Aves;Passeriformes;Tyrannidae;Elaenia ruficeps;Élénie tête-de-feu 
Aves;Falconiformes;Accipitridae;Elanoides forficatus;Milan à queue fourchue
Aves;Falconiformes;Accipitridae;Elanus axillaris;Élanion d'Australie
Aves;Falconiformes;Accipitridae;Elanus caeruleus;Élanion blanc
Aves;Falconiformes;Accipitridae;Elanus leucurus;Elanion à queue blanche 
Aves;Falconiformes;Accipitridae;Elanus scriptus;Élanion lettré
Reptilia;Squamata;Colubridae;Elaphe carinata;Élaphe carénée
Reptilia;Squamata;Colubridae;Elaphe longissima;Couleuvre d'Esculape
Reptilia;Squamata;Colubridae;Elaphe radiata;Élaphe à tête cuivrée
Reptilia;Squamata;Colubridae;Elaphe scalaris;Couleuvre à échelons
Reptilia;Squamata;Colubridae;Elaphe taeniura;Élaphe à queue rayée
Mammalia;Proboscidea;Elephantidae;Elephantidae spp.;Eléphant
Mammalia;Proboscidea;Elephantidae;Elephas maximus;Eléphant d'Asie
Aves;Apodiformes;Trochilidae;Elvira chionura;Colibri elvire
Aves;Apodiformes;Trochilidae;Elvira cupreiceps;Colibri à tête cuivrée
Aves;Passeriformes;Emberizidae;Emberiza aureola;Bruant auréole
